product,category,version_normalized,path,title,source_path,extension,size_bytes,thumbnail
DemoForge,audio,—,audio/nd-ui.vgm,nd-ui,subrepos/DemoForge-Archive/DemoForge/nd-ui.vgm,.vgm,28184,
DemoForge,audio,—,audio/snork_intro_union.sndh,Snork_Intro_Union,subrepos/DemoForge-Archive/DemoForge/Snork_Intro_Union.sndh,.sndh,69570,
DemoForge,audio,—,audio/unio-demo.vgm,Unio-Demo,subrepos/DemoForge-Archive/DemoForge/Unio-Demo.vgm,.vgm,28184,
DemoForge,code-data,—,code-data/auto_push.sh,auto_push,subrepos/DemoForge-Archive/DemoForge/auto_push.sh,.sh,476,
Motion,code-data,—,code-data/config.js,config,subrepos/DemoForge-Archive/DemoForge-Motion/js/config.js,.js,1425,
Motion,code-data,—,code-data/core.js,core,subrepos/DemoForge-Archive/DemoForge-Motion/js/core.js,.js,52368,
DemoForge,code-data,v1776355940035,code-data/credits.json,CREDITS,subrepos/DemoForge-Archive/DemoForge/demoforge_export_1776355940035/CREDITS.json,.json,2746,
Motion,code-data,—,code-data/effects.json,effects,subrepos/DemoForge-Archive/DemoForge-Motion/modules/effects.json,.json,4983,
Motion,code-data,—,code-data/export.js,export,subrepos/DemoForge-Archive/DemoForge-Motion/js/export.js,.js,3123,
Motion,code-data,—,code-data/modules.js,modules,subrepos/DemoForge-Archive/DemoForge-Motion/js/modules.js,.js,3371,
DemoForge,code-data,v1,code-data/set_de_depart.set-1.json,Set_de_depart.set (1),subrepos/DemoForge-Archive/DemoForge/Set_de_depart.set (1).json,.json,3436,
DemoForge,code-data,—,code-data/set_de_depart.set.json,Set_de_depart.set,subrepos/DemoForge-Archive/DemoForge/Set_de_depart.set.json,.json,2822,
Motion,code-data,—,code-data/timeline.js,timeline,subrepos/DemoForge-Archive/DemoForge-Motion/js/timeline.js,.js,10866,
DemoForge,code-data,—,code-data/versions.json,versions,subrepos/DemoForge-Archive/DemoForge/data/versions.json,.json,3723,
DemoForge,docs,v1.0,docs/v1.0-demoforge-architecture-global-en-v1.0.pdf,DEMOFORGE-ARCHITECTURE-GLOBAL-EN-V1.0,subrepos/DemoForge-Archive/DemoForge/DEMOFORGE-ARCHITECTURE-GLOBAL-EN-V1.0.pdf,.pdf,51566,
DemoForge,docs,v1.0,docs/v1.0-demoforge-architecture-globale-v1.0.pdf,DEMOFORGE-ARCHITECTURE-GLOBALE-V1.0,subrepos/DemoForge-Archive/DemoForge/DEMOFORGE-ARCHITECTURE-GLOBALE-V1.0.pdf,.pdf,51217,
DemoForge,docs,v1.0,docs/v1.0-demoforge-bible-v1.0-1.pdf,DEMOFORGE-BIBLE-V1.0 (1),subrepos/DemoForge-Archive/DemoForge/DEMOFORGE-BIBLE-V1.0 (1).pdf,.pdf,54828,
DemoForge,docs,v1.0,docs/v1.0-demoforge-bible-v1.0.pdf,DEMOFORGE-BIBLE-V1.0,subrepos/DemoForge-Archive/DemoForge/DEMOFORGE-BIBLE-V1.0.pdf,.pdf,54828,
DemoForge,docs,v1.1,docs/v1.1-demoforge-architecture-globale-v1.1.pdf,DEMOFORGE-ARCHITECTURE-GLOBALE-V1.1,subrepos/DemoForge-Archive/DemoForge/DEMOFORGE-ARCHITECTURE-GLOBALE-V1.1.pdf,.pdf,55553,
DemoForge,docs,v1,docs/cahier_de_synthese_demoforge_v1.md,CAHIER_DE_SYNTHESE_DEMOFORGE_V1,subrepos/DemoForge-Archive/DemoForge/CAHIER_DE_SYNTHESE_DEMOFORGE_V1.md,.md,8092,
DemoForge,docs,v2,docs/claude_v2_master_prompt.md,CLAUDE_V2_MASTER_PROMPT,subrepos/DemoForge-Archive/DemoForge/CLAUDE_V2_MASTER_PROMPT.md,.md,3906,
